,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saldanha,24,ZA,few clouds,57,-33.0117,17.9442,93.25,13.62
1,Castro,99,BR,overcast clouds,86,-24.7911,-50.0119,71.67,6.46
2,Surt,7,LY,clear sky,36,31.2089,16.5887,64.87,12.5
3,Coihaique,0,CL,clear sky,87,-45.5752,-72.0662,50.61,3.44
4,Nikolskoye,100,RU,overcast clouds,92,59.7035,30.7861,22.87,12.71
5,Avera,95,US,overcast clouds,64,33.194,-82.5271,39.07,9.98
6,Barrow,100,US,haze,71,71.2906,-156.7887,-7.58,9.22
7,Qaanaaq,73,GL,broken clouds,77,77.484,-69.3632,-3.6,9.55
8,Ushuaia,0,AR,clear sky,44,-54.8,-68.3,55.06,21.85
9,Busselton,0,AU,clear sky,60,-33.65,115.3333,74.46,9.6
10,Nemuro,99,JP,overcast clouds,75,43.3236,145.575,22.66,16.06
11,Concarneau,7,FR,clear sky,65,47.875,-3.9225,53.82,11.16
12,Barcelos,22,PT,few clouds,56,41.5388,-8.6151,57.92,4.23
13,Rikitea,9,PF,clear sky,75,-23.1203,-134.9692,77.88,9.33
14,Damavand,91,IR,overcast clouds,74,35.7178,52.065,39.04,8.79
15,Punta Arenas,0,CL,clear sky,81,-53.15,-70.9167,46.51,8.05
16,Bredasdorp,53,ZA,broken clouds,53,-34.5322,20.0403,82.27,28.77
17,Camacha,20,PT,few clouds,82,33.0833,-16.3333,68.54,13.8
18,Vaini,100,TO,light rain,100,-21.2,-175.2,77.16,5.75
19,Kismayo,93,SO,overcast clouds,67,-0.3582,42.5454,83.37,18.52
20,Los Llanos De Aridane,20,ES,few clouds,82,28.6585,-17.9182,64.15,1.99
21,Naze,74,JP,broken clouds,59,28.3667,129.4833,51.62,16.4
22,Kavieng,87,PG,light rain,76,-2.5744,150.7967,82.29,7.05
23,Tuatapere,9,NZ,clear sky,86,-46.1333,167.6833,44.83,2.24
24,Bluff,35,NZ,scattered clouds,73,-46.6,168.3333,50.09,4.79
25,Yellowknife,100,CA,overcast clouds,85,62.456,-114.3525,-20.58,8.05
26,Cherskiy,12,RU,few clouds,97,68.75,161.3,-32.26,2.73
27,Puerto Ayora,62,EC,broken clouds,95,-0.7393,-90.3518,74.55,5.01
28,Hermanus,2,ZA,clear sky,45,-34.4187,19.2345,95.9,19.1
29,Verkhoyansk,55,RU,broken clouds,100,67.5447,133.385,-41.49,0.72
30,Plyussa,100,RU,overcast clouds,92,58.4308,29.3654,24.04,11.25
31,Port Alfred,97,ZA,light rain,84,-33.5906,26.891,69.28,22.95
32,Ambilobe,96,MG,light rain,81,-13.2,49.05,81.12,14.2
33,Alta Floresta,75,BR,broken clouds,89,-9.8756,-56.0861,76.03,1.54
34,Sitka,100,US,light rain,87,57.0531,-135.33,42.69,5.75
35,Hilo,100,US,heavy intensity rain,93,19.7297,-155.09,70.79,5.75
36,Lebu,8,CL,clear sky,83,-37.6167,-73.65,58.59,14.58
37,Flinders,86,AU,overcast clouds,73,-34.5833,150.8552,70.21,8.01
38,Carnarvon,34,AU,scattered clouds,58,-24.8667,113.6333,87.87,8.05
39,Payo,93,ID,light rain,97,-3.7508,103.6372,74.95,2.46
40,Bethel,75,US,broken clouds,83,41.3712,-73.414,23.58,5.75
41,Denpasar,40,ID,scattered clouds,79,-8.65,115.2167,83.86,12.66
42,Taiyuan,0,CN,clear sky,24,37.8694,112.5603,30.06,2.24
43,Urucara,100,BR,overcast clouds,85,-2.5364,-57.76,75.61,1.19
44,Dikson,99,RU,overcast clouds,96,73.5069,80.5464,-14.8,5.1
45,Torquay,86,GB,overcast clouds,86,50.4638,-3.5143,49.75,10.0
46,Jamestown,75,US,mist,51,42.097,-79.2353,12.72,6.91
47,Matam,0,SN,clear sky,14,15.6175,-13.3303,89.6,6.91
48,Mount Isa,3,AU,clear sky,26,-20.7333,139.5,83.97,8.05
49,Svetlaya,100,RU,overcast clouds,68,46.5389,138.3297,11.34,9.91
50,Saskylakh,91,RU,overcast clouds,100,71.9167,114.0833,-23.58,4.18
51,Mataura,52,NZ,broken clouds,86,-46.1927,168.8643,46.11,0.78
52,San Patricio,5,US,clear sky,78,28.017,-97.5169,35.83,7.47
53,Puerto Del Rosario,0,ES,clear sky,43,28.5004,-13.8627,71.35,4.61
54,Mahebourg,40,MU,light intensity shower rain,74,-20.4081,57.7,84.49,18.41
55,Severo-Kurilsk,100,RU,light snow,94,50.6789,156.125,29.1,11.56
56,Okhotsk,57,RU,broken clouds,71,59.3833,143.3,-2.0,16.11
